profiling/Time taken: GRPOTrainer.transformers.generate,_step,_runtime,_timestamp,train/global_step,profiling/Time taken: GRPOTrainer._get_per_token_logps_and_entropies,reward/synthesizability,reward/boltz2_pose_conf,reward/non_finite_zeroed,reward/crashes_total,reward/structural_alerts,reward/spectrum_breadth,reward/predicted_mic,profiling/Time taken: GRPOTrainer.reward_callable,reward/embedding_novelty,reward/resistance_robustness,reward/hemolysis_safety,reward/validity,reward/pareto_entry,reward/drug_likeness_qed,reward/novelty,profiling/Time taken: GRPOTrainer._calculate_rewards,profiling/Time taken: GRPOTrainer._prepare_inputs,profiling/Time taken: GRPOTrainer.compute_loss,train/entropy,train/clip_ratio/region_mean,train/completions/mean_terminated_length,train/rewards/reward_callable/std,train/clip_ratio/high_max,train/step_time,train/reward,train/num_tokens,train/kl,train/completions/min_terminated_length,train/loss,train/grad_norm,train/completions/min_length,train/clip_ratio/low_min,train/learning_rate,train/clip_ratio/low_mean,train/completions/mean_length,train/epoch,train/rewards/reward_callable/mean,train/frac_reward_zero_std,train/completions/max_terminated_length,train/completions/clipped_ratio,train/clip_ratio/high_mean,train/reward_std,train/completions/max_length
,92,354.242162556,1778110785.3331742,0,,,,,,,,,,,,,,,,,,4.069006536155939e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,354.584935315,1778110785.6760387,0,0.3423148269939702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,354.725678319,1778110785.8166382,0,,,,,,,,,,,,,,,,,,,0.48315438999270555,,,,,,,,,,,,,,,,,,,,,,,,,
,95,355.701783738,1778110786.792748,0,,,,,,,,,,,,,,,,,,3.773006028495729e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,356.071906532,1778110787.1628857,0,0.36976396199315786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,356.234963919,1778110787.3258266,0,,,,,,,,,,,,,,,,,,,0.532896892997087,,,,,,,,,,,,,,,,,,,,,,,,,
,98,357.347084389,1778110788.4380684,0,,,,,,,,,,,,,,,,,,3.4469994716346264e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,357.672950997,1778110788.7638958,0,0.32557716200244613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,357.830535086,1778110788.9215136,0,,,,,,,,,,,,,,,,,,,0.48327038501156494,,,,,,,,,,,,,,,,,,,,,,,,,
,101,358.805592707,1778110789.8965633,0,,,,,,,,,,,,,,,,,,3.722001565620303e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,359.152333063,1778110790.2435434,0,0.3464994220121298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,359.287809975,1778110790.378768,0,,,,,,,,,,,,,,,,,,,0.4819996989972424,,,,,,,,,,,,,,,,,,,,,,,,,
140.48157876000914,104,500.960841897,1778110932.0518095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,508.919901303,1778110940.0009265,0,7.904674097997486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,509.071463555,1778110940.1626346,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019487579993437976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,509.07174057,1778110940.1630726,0,,,,,,,,,,,,,,,,,0.002497487992513925,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,509.073415186,1778110940.164664,0,,,,,,,,,,,,,,,,,,148.59653213000274,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,509.433216595,1778110940.5243883,0,0.35943476599641144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,509.603976426,1778110940.6949255,0,,,,,,,,,,,,,,,,,,,0.5300906990014482,,,,,,,,,,,,,,,,,,,,,,,,,
,111,510.71388745,1778110941.8049393,0,,,,,,,,,,,,,,,,,,4.468995030038059e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,511.047122169,1778110942.1382284,0,0.3327812429924961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,511.199578715,1778110942.2905378,0,,,,,,,,,,,,,,,,,,,0.4853011880040867,,,,,,,,,,,,,,,,,,,,,,,,,
,114,512.251612779,1778110943.342725,0,,,,,,,,,,,,,,,,,,4.7539942897856236e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,512.582006145,1778110943.6731665,0,0.32974776600894984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,512.737580188,1778110943.8285306,0,,,,,,,,,,,,,,,,,,,0.4855948129988974,,,,,,,,,,,,,,,,,,,,,,,,,
,117,513.79145331,1778110944.8823652,0,,,,,,,,,,,,,,,,,,4.505011020228267e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,118,514.176603153,1778110945.2676969,0,0.38492758899519686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,514.327067876,1778110945.418103,0,,,,,,,,,,,,,,,,,,,0.5355429369956255,,,,,,,,,,,,,,,,,,,,,,,,,
,120,515.44665756,1778110946.537684,0,,,,,,,,,,,,,,,,,,4.365007043816149e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,515.820419264,1778110946.911518,0,0.3736137499945471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,122,515.982521237,1778110947.0735176,0,,,,,,,,,,,,,,,,,,,0.5356822930043563,,,,,,,,,,,,,,,,,,,,,,,,,
,123,517.100082275,1778110948.1910467,0,,,,,,,,,,,,,,,,,,4.442001227289438e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,517.480822625,1778110948.5719142,0,0.38027818499540444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,517.631186786,1778110948.7221003,0,,,,,,,,,,,,,,,,,,,0.5308868889987934,,,,,,,,,,,,,,,,,,,,,,,,,
,126,518.739152223,1778110949.830303,0,,,,,,,,,,,,,,,,,,3.7600111681967974e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,519.112425592,1778110950.2034664,0,0.3727503900008742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,519.271837983,1778110950.3629196,0,,,,,,,,,,,,,,,,,,,0.532475592000992,,,,,,,,,,,,,,,,,,,,,,,,,
